Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 945 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 944 và 1|| Thời gian tách : 2022-06-11 11:31:42
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 944 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 943 và 1|| Thời gian tách : 2022-06-11 11:31:44
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 943 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 942 và 1|| Thời gian tách : 2022-06-11 11:31:45
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 942 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 941 và 1|| Thời gian tách : 2022-06-11 11:31:48
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 941 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 940 và 1|| Thời gian tách : 2022-06-11 11:35:35
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 940 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 939 và 1|| Thời gian tách : 2022-06-11 11:35:49
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 939 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 938 và 1|| Thời gian tách : 2022-06-11 11:35:51
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 938 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 937 và 1|| Thời gian tách : 2022-06-11 11:35:53
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 937 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 936 và 1|| Thời gian tách : 2022-06-11 11:35:54
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 936 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 935 và 1|| Thời gian tách : 2022-06-11 11:35:56
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 935 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 934 và 1|| Thời gian tách : 2022-06-11 11:35:58
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 934 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 933 và 1|| Thời gian tách : 2022-06-11 11:35:59
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 933 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 932 và 1|| Thời gian tách : 2022-06-11 11:36:01
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 932 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 931 và 1|| Thời gian tách : 2022-06-11 11:36:02
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 931 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 930 và 1|| Thời gian tách : 2022-06-11 11:36:05
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 930 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 928 và 2|| Thời gian tách : 2022-06-11 11:36:07
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 928 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 927 và 1|| Thời gian tách : 2022-06-11 11:36:08
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 927 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 926 và 1|| Thời gian tách : 2022-06-11 11:36:10
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 926 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 924 và 2|| Thời gian tách : 2022-06-11 11:36:11
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-11 11:36:14
